title;for;dex;con;int;sag;cha;ref;vig;vol;init;pv;ca;xp;vd;sorts;resistances;corps a corps;distance;attaques speciales;dons;competences;modificateurs raciaux;sens;langues;environnement;tresor;organisation sociale;bba;bmo;dmd;text;misc;
"Akhana";"21";"23";"26";"16";"21";"18";"+11";"+17";"+14";"+10";"148 (11d10+88) ; guerison acceleree 5";"27, contact 18, pris au depourvu 21 (dex +6, naturelle +9, parade +2)";"19.200";"9 m (6 c), vol 12 m (8 c) (mediocre)";"* Constant - perception de la mort
* À volonté - blessure grave (DD 17), préservation des morts, sanctuaire (DD 15), soins importants
* 3/jour - exécution (DD 19), restauration
* 1/jour - rappel à la vie";"electricite 10, feu 10";"4 griffes, +16 (1d4+5 plus etreinte)";;"absorption d'ames";"attaques reflexes, reflexes surhumains, science de l'initiative, vigueur surhumaine, vol stationnaire, volonte de fer";"art de la magie +17, bluff +18, connaissances (plans) +22, connaissances (religion) +22, discretion +20, intimidation +18, perception +19, premiers secours +19, psychologie +19, vol +2";;"vision dans le noir 18 m (12 c), perception de la mort ; perception +19";"visualisation";"tous (plans exterieurs)";"aucun";"solitaire, couple ou collectif (3-6)";"+11";"+16 (+20 en lutte";"34 (38 contre croc-en-jambe)";"* Source : Bestiaire 2 page 11
* Extérieur (aéon, extraplanaire) de taille M, N";"* particularites : extension du tout, forme du neant
* absorption d'ames : par une action rapide, un akhana peut utiliser sa queue pour absorber l'essence vitale d'une victime agrippee. au debut du tour de l'aeon, la victime gagne 1d4 niveaux negatifs (un jet de vigueur reussi contre un dd de 23 permet d'eviter les niveaux negatifs et immunise la cible contre l'absorption d'ames par l'aeon en question pendant 24 heures). lorsque le nombre de niveaux negatifs atteint le nombre de dv de la cible, son ame se detache de son corps materiel et est stockee dans le corps de l'akhana, comme par un sort de sequestration. tant que l'akhana garde l'ame de la victime, le corps de cette derniere reste en bon etat (comme si un sort de preservation des morts avait ete utilise). l'akhana peut conserver l'ame sans limite de temps ou la liberer par une action complexe. dans ce cas, l'ame liberee retourne immediatement vers son corps si celui-ci se trouve dans un rayon de 90 metres (60 c). le corps reprend alors vie et tous les niveaux negatifs infliges par l'akhana disparaissent. si le corps ne se trouve pas dans la portee (ou s'il a ete detruit), alors, la creature meurt lorsque son ame est liberee. un miracle, souhait limite ou souhait peut forcer une ame derobee a revenir vers son corps. si l'akhana est tue, toute ame qu'il renferme est liberee automatiquement. un akhana ne peut conserver qu'une seule ame a la fois. le dd du jet de sauvegarde depend de la constitution
* immunites : critiques, froid, poison
* pouvoirs magiques : (nls 11{e} ; concentration +15)
* rm : 23";
"Allip";"-";"12";"-";"11";"11";"16";"+4";"+4";"+4";"+5";"30 (4d8+12)";"14, contact 14, pris au depourvu 13 (dex +1, parade +3)";"800";"vol 6 (parfait)";"";;"contact intangible +4 (affaiblissement temporaire de 1d4 points de sagesse)";;"babil, toucher de folie";"reflexes surhumains, science de l'initiative";"discretion +8, intimidation +10, perception +7, vol +16";;"vision dans le noir (12 cases) ; perception +7";"aklo, commun";"tous";"fortuit";"solitaire, couple ou hantise (4-6)";"+3";"+4";"17";"* Source : Bestiaire 3
* Mort-vivant (intangible) de taille M, CM";"* demence : quiconque cible l'allip avec un pouvoir telepathique, de lecture des pensees ou de controle mental entre en contact avec l'esprit torture du mort-vivant et subit un affaiblissement temporaire de 1d4 points de sagesse
* toucher de folie : le contact d'un allip provoque un affaiblissement temporaire de 1d4 points de sagesse, si la cible echoue un jet de sauvegarde de volonte (dd 15). si l'attaque est critique, elle provoque en plus une diminution permanente de 1 point de sagesse (a la place du double de l'affaiblissement temporaire de sagesse). a chaque attaque reussie, l'allip gagne 5 points de vie temporaires. le dd du jet de sauvegarde depend du charisme
* capacites defensives : intangible, resistance a la canalisation +2
* babil : l'allip bougonne et geint en permanence, ce qui provoque un effet hypnotique affectant toutes les creatures saines d'esprit a 18 m (12 c) a la ronde. celles qui ratent un jet de sauvegarde de volonte (dd 15) sont fascinees pendant 2d4 rounds. l'allip peut s'approcher d'une creature fascinee sans rompre l'effet, mais toute attaque de sa part stoppe la fascination. c'est un effet de son et mental de type coercition. les creatures reussissant leur jet de sauvegarde sont immunisees contre le babil de l'allip pour 24 heures. le dd du jet de sauvegarde est base sur le charisme
* particularites : demence
* aura : babil (12 cases, dd 15)
* immunites : traits des morts-vivants";
"Allosaure";"26";"13";"19";"2";"15";"10";"+8";"+11";"+7";"+5";"93 (11d8+44)";"19, contact 9, pris au depourvu 18 (dex +1, naturelle +10, taille -2)";"3 200";"15 m (10 c)";"";;"morsure, +14 (2d6+8/19-20 plus etreinte) et 2 griffes, +14 (1d8+8)";;"bond, pattes arriere (2 serres +14, 1d8+8)";"aisance, course, science de l'initiative, science du critique (morsure), vigilance, volonte de fer";"perception +28";"+8 en perception";"odorat, vision nocturne ; perception +28";;"forets/plaines temperees ou chaudes";"aucun";"solitaire, couple ou meute (3-6)";"+8";"+18";"29)";"* Source : Bestiaire 2, p.99
* Animal de taille TG, N";"* espace : 4,50 m (3 c)
* allonge : 4,50 m (3 c)";
"Amibe géante";"12";"1";"16";"-";"1";"1";"-5";"+3";"-5";"-5";"15 (2d8+6)";"6, contact 6, pris au depourvu 6 (dex -5, taille +1)";"400";"3 m (2 c), escalade 3 m (2 c), nage 6 m (4 c)";"";;"coup, +3 (1d3+1 plus 1d3 acide et etreinte)";;"constriction (1d3+1 plus 1d3 acide)";;"escalade +9, natation +9";;"vision aveugle 9 m (6 c) ; perception -5";;"terre ferme ou sous terre";"aucun";"solitaire ou colonie (2-9)";"+1";"+1 (+5 pour la lutte)";"6 (croc-en-jambe impossible)";"* Source : Bestiaire 2 p.26
* Vase (aquatique) de taille P, N";"* particularites : amphibie
* capacites defensives : traits des vases";
"Amphisbène";"14";"15";"13";"2";"13";"4";"+7";"+6";"+3";"+2";"45 (6d10+12)";"19, contact 11, pris au depourvu 17 (dex +2, naturelle +8, taille -1)";"1.200";"6 m (4 c), escalade 6 m (4 c), nage 6 m (4 c)";"";"froid 10";"2 morsures, +8 (1d8+2 plus poison)";;;"arme de predilection (morsure), robustesse, talent (discretion)";"acrobaties +10 (+6 pour sauter), discretion +11, escalade +10, natation +10, perception +11";"+8 en acrobaties, +4 en discretion, +4 en perception";"vision a 360°, vision dans le noir 18 m (12 c), vision nocturne ; perception +11";;"collines temperees ou sous terre";"fortuit";"solitaire ou groupe (2-5)";"+6";"+9";"21 (croc-en-jambe impossible)";"* Source : Bestiaire 2 p.27
* Créature magique de taille G, N";"* division : un amphisbene continue a fonctionner normalement meme apres avoir ete coupe en deux. s'il subit un coup critique porte a l'aide d'une arme tranchante, il est coupe en deux, mais continue d'agir comme deux creatures separees, chacune disposant de la moitie (arrondie vers le bas) du nombre de points de vie que la creature originale possede apres calcul des effets du coup critique. un amphisbene coupe en deux ne peut plus etre coupe en deux a nouveau. s'il dispose d'1 minute, il peut reunir ses deux moities et redevenir une seule creature (on additionne le nombre de points de vie de chacune des moities). si l'une des moities est tuee, l'amphisbene a besoin de 1d3 semaines pour que la partie manquante repousse
* capacites defensives : division
* allonge : 1,5 m (1 c)
* poison : morsure-blessure ; jds vig dd14 ; frequence 1/round pendant 6 rounds ; effet affaiblissement temporaire 1d3 con ; guerison 1 reussite
* espace : 3 m (1,5 c)
* immunites : petrification";
"Anaconda géant";"36";"14";"23";"1";"13";"2";"+10";"+14";"+5";"+6";"126 (12d8+72)";"25, contact 9, pris au depourvu 22 (dex +2, esquive +1, naturelle +16, taille -4)";"9 600";"6 m (4 c), escalade 6 m (4 c), nage 6 m (4 c)";"";;"morsure, +19 (4d6+19/19-20 plus etreinte)";;"constriction (4d6+19)";"arme de predilection (morsure), attaque en puissance, esquive, science de l'initiative, science du critique (morsure), talent (perception)";"escalade +21, natation +21, perception +22";;"odorat, vision nocturne ; perception +22";;"marais chauds";"aucun";"solitaire ou couple";"+9";"+26 (+30 lutte)";"39 (croc-en-jambe impossible)";"* Source : Bestiaire 2 p.248";"* espace : 6 m (4 c)
* allonge : 6 m (4 c)
* animal : de taille gig, n";
"Anguille électrique";"13";"14";"19";"1";"10";"6";"+5";"+7";"+0";"+6";"17 (2d8+8)";"15, contact 13, pris au depourvu 13 (dex +2, naturelle +2, taille +1)";"600";"1,50 m (1 c), nage 9 m (6 c)";"";"electricite 10";"morsure +3 (1d6+1) et queue, -2 (contact, 1d6 electricite)";;;"science de l'initiative";"discretion +10, evasion +10, natation +9, perception +4";"evasion +8";"vision nocturne ; perception +4";;"eau douce avec un climat chaud";"aucun";"solitaire";"+1";"+1";"13 (croc-en-jambe impossible)";"* Source : Bestiaire p.16
* Animal de taille P, N";"* electricite : une anguille electrique peut produire une puissante decharge electrique qu'elle inflige via sa queue en effectuant une attaque de contact. en cas de coup critique, la victime doit reussir un  jet de vigueur de dd 15 pour ne pas etre etourdie pendant 1d4 rounds. le dd depend de la constitution";
"Ankheg";"16";"10";"17";"1";"13";"6";"+3";"+6";"+2";"+0";"28 (3d10+12)";"16, contact 9, pris au depourvu 16 (naturelle +7, taille -1)";"800";"9 m (6 c), creusement 6 m (4 c)";"";;"morsure, +5 (2d6+4 et 1d4 acide et etreinte)";;"crachat d'acide";"robustesse, talent (perception)";"escalade +8, perception +8";;"perception des vibrations 18 m (12 c), vision dans le noir 18 m (12 c), vision nocturne ; perception +8";;"plaines temperees ou chaudes";"fortuit";"solitaire, couple ou nid (3-6)";"+3";"+7 (+11 lutte)";"17 (25 contre le croc-en-jambe)";"* Source : Bestiaire p.18
* Créature magique de taille G, N";"* allonge : 1,50 m (1 c)
* espace : 3 m (2 c)
* crachat d'acide : une fois toutes les 6 heures, un ankheg peut cracher une ligne d'acide de 9 m (6 c) de longueur. les creatures touchees subissent 4d4 points de degats d'acide (la moitie en cas de jet de reflexes reussi contre un dd de 14). l'ankheg doit alors attendre 6 heures avant de pouvoir utiliser cette attaque a nouveau et, pendant cette periode d'attente, sa morsure n'inflige pas de degats d'acide supplementaires. c'est pour cela que les ankhegs utilisent cette capacite uniquement lorsqu'ils sont desesperes ou contraries (generalement lorsqu'ils ont perdu plus de la moitie de leurs points de vie ou qu'ils ont ete incapables d'agripper leur adversaire). le dd du jet de sauvegarde depend de la constitution";
"Ankylosaure";"27";"10";"17";"2";"13";"8";"+7";"+12";"+4";"+0";"75 (10d8+30)";"22, contact 8, pris au depourvu 22 (naturelle +14, taille -2)";"2.400";"9 m (6 c)";"";;"queue, +14 (3d6+12 et etourdissement)";;;"arme de predilection (queue), attaque en puissance, science de la bousculade, science du renversement, vigueur surhumaine";"perception +14";;"odorat, vision nocturne ; perception +14";;"forets et plaines chaudes";"aucun";"solitaire, couple ou troupeau (3-12)";"+7";"+17";"27 (31 contre croc-en-jambe)";"* Source : Bestiaire p.88
* Animal de taille TG, N";"* etourdissement : l'ankylosaure peut porter de terribles coups etourdissants a l'aide de sa queue. une creature touchee par cette attaque doit reussir un jet de vigueur de dd 23 pour ne pas etre hebetee pendant 1 round. en cas de coup critique, si le jet de sauvegarde echoue, la victime est etourdie pendant 1d4 rounds. le dd du jet de sauvegarde depend de la force
* allonge : 3
* espace : 3";
"Araignée écarlate";"3";"21";"10";"-";"10";"2";"+5";"+2";"+0";"+5";"4 (1d8)";"18, contact 17, pris au depourvu 13 (dex +5, naturelle +1, taille +2)";"100";"9 m (6 c), escalade 9 m (6 c)";"";;"morsure +7 (1d3-4 et poison)";;"poison";"attaque en finesse{b}";"acrobaties +13, discretion +17, escalade +21, perception +4";"acrobaties +8, discretion +4,escalade +8, perception +4";"vision dans le noir a 18 m (12 c) ; perception +4";;"n'importe";"aucun";"solitaire, couple ou colonie (3-8)";"+0";"+3";"9 (21 contre le croc-en-jambe)";"* Source : Art de la Magie p.117
* Vermine de taille TP, N";"* allonge : 0
* espace : 0,8 m (1/2 c)
* immunites : effets mentaux
* poison : morsure - blessure ; js vigueur dd 10 ; frequence 1/round pendant 4 rounds ; effets 1 for ; guerison 1 js reussi";
"Araignée de Leng";"26";"29";"26";"21";"17";"22";"+18";"+17";"+10";"+13";"202 (15d10+120) ; guerison acceleree 10";"29, contact 17, pris au depourvu 20 (dex +9, naturelle +12, taille -2)";"38 400";"12 m (8 c), escalade 12 m (8 c)";"";;"fleau de maitre, +22/+17/+12 (3d6+8) et morsure, +16 (2d6+4 plus poison)
bolas de maitre, +23 (1d8+8)";;"armes en toile, toile (+24 a distance, dd 15, 5 pv)";"attaques reflexes, expertise du combat, frappe decisive, science de l'initiative, science du croc-en-jambe, tir a bout portant, tir de precision, volonte de fer";"acrobaties +27 (+31 pour sauter), art de la magie +20, artisanat (pieges) +20, connaissances (une au choix) +20, escalade +34, perception +21, utilisation d'objets magiques +21";;"perception des vibrations 18 m (12 c), vision dans le noir 18 m (12 c), vision magique, vision nocturne ; perception +21";"aklo ; don des langues";"tous";"double";"solitaire, couple ou culte (3-6)";"+15";"+25";"44 (54 contre le croc-en-jambe)";"* Source : Bestiaire 2 p.34
* Créature magique (extraplanaire) de taille TG, CM
* Constant - don des langues, liberté de mouvement, vision magique
* A volonté - dissipation de la magie, fabrication (à partir de toiles d'araignée uniquement)
* 3/jour - image accomplie (DD 19), invisibilité, marche dans les airs
* 1/jour - aliénation mentale (DD 23), charme-monstre (DD 20), mirage (DD 21), voile (DD 22)";"* armes en toiles : une araignee de leng sait utiliser ses toiles pour construire des armes de maitre. cette technique de creation d'armes permet a l'araignee de fabriquer un fleau ou des bolas en attachant un objet lourd comme un rocher ou un morceau de metal a une corde tissee. l'araignee attache l'une des extremites de cette corde a une de ses jambes et peut ensuite manier l'arme comme s'il s'agissait d'un fleau ou de bolas de maitre. elle ne peut utiliser qu'une seule arme de ce genre a la fois (elle doit conserver ses autres jambes libres pour marcher). si une araignee de leng laisse tomber ou perd une arme en toile, elle peut en creer une nouvelle par une action complexe si elle a acces a des objets lourds et de taille adequate (comme des rochers ou des cranes)
* allonge : 4,50 m (3 c)
* capacites defensives : effets de confusion et d'alienation mentale, froid, poison, son ; rm 25
* espace : 4,50 m (3 c)
* pouvoirs magiques : (nls 15 ; concentration +21)
* poison : morsure - blessure ; js vigueur dd 25 ; frequence 1/round pendant 6 rounds ; effet affaiblissement temporaire 1d4 con et confusion pendant 1 round; guerison 2 reussites consecutives. le venin d'une araignee de leng donne des cloques puis pourrir la chair et glisse dans l'esprit des hallucinations horribles et vivaces. ces visions bizarres font reagir la creature empoisonnee de maniere imprevisible, comme si elle etait confuse. la composante hallucinatoire de ce poison est un effet mental. le dd du jet de sauvegarde depend de la constitution";
"Araignée de phase";"20";"17";"16";"7";"13";"10";"+8";"+8";"+3";"+7";"51 (6d10+18)";"17, contact 12, pris au depourvu 14 (dex +3, naturelle +5, taille -1)";"1.600";"12 m (8 c), escalade 6 m (4 c)";"";;"morsure, +10 (2d6+7 et poison et etreinte)";;"embuscade depuis l'ethere";"attaques speciales renforcee (poison), science de l'initiative, talent (discretion)";"discretion +7, escalade +18, perception +6";;"vision dans le noir 18 m (12 c), vision nocturne ; perception +6";"aklo";"collines chaudes";"aucun";"solitaire, couple ou groupe (3-6)";"+6";"+12 (+16 lutte)";"25 (37 contre le croc-en-jambe)";"* Source : Bestiaire p.19
* Créature magique de taille G, N";"* allonge : 1,50 m (1 c)
* embuscade depuis l'ethere : lorsqu'une araignee de phase surprend des ennemis situes sur le plan materiel (si elle commence le combat en glissant du plan ethere vers le plan materiel), elle peut effectuer un round entier d'actions au cours du round de surprise)
* capacites defensives : forme etheree
* forme etheree : les araignees de phase peuvent glisser du plan ethere vers le plan materiel par une action libre. elles peuvent glisser du plan materiel vers le plan ethere par une action de mouvement (ou au cours d'une action de mouvement). a part cela, cette capacite est identique au sort de forme etheree (nls 15)
* espace : 3 m (2 c)
* poison : morsure - blessure ; js vigueur dd 18 ; frequence 1/round pendant 8 rounds ; effet affaiblissement temporaire 1d2 con ; guerison 2 reussites consecutives. le dd depend de la constitution";
